CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numIodine,numSilicon
575-43-9,1.6-Dimethylnaphthalene,,,,,1.37,0.94,0,6.347,11.06,,,,,,,,,,,
75457-13-5,3-Methyl-8-hydroxyquinoline,,,,,1.4,1.11,0,6.35,11.06,,,,,,,,,,,
7786-34-7,Mevinphos,,,,,0.29,1.36,0,6.35,11.06,,,,,,,,,,,
74553-29-0,2.5-Dibromobenzaldehyde,,,,,1.4,1.25,0,6.352,11.06,,,,,,,,,,,
5541-68-4,7-Methyl-8-hydroxyquinoline,,,,,1.4,1.18,0,6.354,11.06,,,,,,,,,,,
5541-67-3,5-Methyl-8-hydroxyquinoline,,,,,1.4,1.18,0,6.355,11.06,,,,,,,,,,,
3446-89-7,4-Methylthiobenzaldehyde,,,,,1.47,1.35,0,6.356,11.06,,,,,,,,,,,
2623-50-9,5.8-Dimethylquinoline,,,,,1.32,0.92,0,6.357,11.06,,,,,,,,,,,
120-14-9,3.4-Dimethoxybenzaldehyde,,,,,1.02,1.6,0,6.36,11.06,,,,,,,,,,,
24262-66-6,Methyl 4-(acetoxy)benzoate,,,,,0.75,1.41,0,6.363,11.06,,,,,,,,,,,
1008-89-5,2-Phenylpyridine,,,,,1.42,1.15,0,6.37,11.06,,,,,,,,,,,
35392-73-5,2.3.5-Trichloro-p-xylene,,,,,1.12,0.87,0,6.371,11.06,,,,,,,,,,,
1198-37-4,2.4-Dimethylquinoline,,,,,1.35,0.95,0,6.371,11.06,,,,,,,,,,,
17171-73-2,1.2-Di-n-butylbenzene,,,,,0.65,0.52,0,6.377,11.06,,,,,,,,,,,
626-00-6,1.3-Diiodobenzene,,,,,1.83,1.07,0,6.377,11.06,,,,,,,,,,,
103-54-8,Cinnamyl acetate,,,,,0.99,1.22,0,6.382,11.06,,,,,,,,,,,
366-18-7,2.2'-Bipyridyl,,,,,1.38,1.07,0,6.388,11.06,,,,,,,,,,,
615-42-9,1.2-Diiodobenzene,,,,,1.86,1.21,0,6.395,11.06,,,,,,,,,,,
3846-73-9,4-Methyl-8-hydroxyquinoline,,,,,1.4,1.11,0,6.395,11.06,,,,,,,,,,,
93-18-5,2-Ethoxynaphthalene,,,,,1.39,1.13,0,6.4,11.06,,,,,,,,,,,
1504-74-1,2-Methoxycinnamaldehyde,,,,,1.05,1.48,0,6.4,11.06,,,,,,,,,,,
20098-48-0,3.4.5-Trichloronitrobenzene,,,,,1.32,1.27,0,6.4,11.06,,,,,,,,,,,
56578-36-0,3-Methoxycinnamaldehyde,,,,,1.05,1.48,0,6.4,11.06,,,,,,,,,,,
24680-50-0,4-Methoxycinnamaldehyde,,,,,1.05,1.48,0,6.4,11.06,,,,,,,,,,,
1812-51-7,2-Ethylbiphenyl,,,,,1.33,0.83,0,6.403,11.06,,,,,,,,,,,
575-37-1,1.7-Dimethylnaphthalene,,,,,1.36,0.99,0,6.405,11.06,,,,,,,,,,,
610-39-9,3.4-Dinitrotoluene,,,,,1.15,1.7,0,6.406,11.06,,,,,,,,,,,
19486-60-3,2-Isopropylbiphenyl,,,,,1.3,0.82,0,6.407,11.06,,,,,,,,,,,
57334-36-8,4-Chloro-8-hydroxyquinoline,,,,,1.51,1.15,0,6.41,11.06,,,,,,,,,,,
515-13-9,?-Elemene,,,,,0.71,0.4,0,6.411,11.06,,,,,,,,,,,
2216-69-5,1-Methoxynaphthalene,,,,,1.41,1.15,0,6.415,11.06,,,,,,,,,,,
87-33-2,Isosorbide dinitrate,,,,,0.91,1.67,0,6.415,11.06,,,,,,,,,,,
1008-88-4,3-Phenylpyridine,,,,,1.38,1.14,0,6.42,11.06,,,,,,,,,,,
127-41-3,a-Ionone,,,,,0.7,0.95,0,6.43,11.06,,,,,,,,,,,
2050-20-6,Diethyl pimelate,,,,,0.08,1.15,0,6.43,11.06,,,,,,,,,,,
939-23-1,4-Phenylpyridine,,,,,1.38,1.14,0,6.44,11.06,,,,,,,,,,,
942-92-7,Hexanophenone,,,,,0.78,0.95,0,6.44,11.06,,,,,,,,,,,
120-61-6,Dimethyl terephthalate,,,,,0.78,1.43,0,6.453,11.06,,,,,,,,,,,
2437-25-4,1-Cyanoundecane,,,,,0.13,0.9,0,6.46,11.06,,,,,,,,,,,
34283-94-8,2.3.5-Trichloronitrobenzene,,,,,1.32,1.34,0,6.46,11.06,,,,,,,,,,,
4238-71-5,1-Benzyl-1H-imidazole,,,,,1.2,1.44,0,6.464,11.06,,,,,,,,,,,
5989-08-2,?-Longipinene,,,,,0.67,0.18,0,6.464,11.06,,,,,,,,,,,
550-44-7,N-Methylphthalimide,,,,,1.25,1.82,0,6.465,11.06,,,,,,,,,,,
83-32-9,Acenaphthene,,,,,1.6,1.05,0,6.469,11.06,,,,,,,,,,,
1190-39-2,Dibutyl malonate,,,,,0.04,1.06,0,6.469,11.06,,,,,,,,,,,
2058-74-4,1-Methylisatin,,,,,1.25,1.86,0,6.47,11.06,,,,,,,,,,,
18708-70-8,2.4.6-Trichloronitrobenzene,,,,,1.32,1.35,0,6.47,11.06,,,,,,,,,,,
89-69-0,2.4.5-Trichloronitrobenzene,,,,,1.32,1.31,0,6.471,11.06,,,,,,,,,,,
2243-90-5,2.6.8-Trimethylquinoline,,,,,1.32,0.9,0,6.472,11.06,,,,,,,,,,,
7659-86-1,2-Ethylhexyl thioglycolate,,,,,0.34,1,0,6.472,11.06,,,,,,,,,,,
25403-09-7,Isooctyl thioglycolate,,,,,0.34,1,0,6.472,11.06,,,,,,,,,,,
573-98-8,1.2-Dimethylnaphthalene,,,,,1.43,0.97,0,6.473,11.06,,,,,,,,,,,
645-49-8,cis-Stilbene,,,,,1.6,0.98,0,6.474,11.06,,,,,,,,,,,
97-00-7,1-Chloro-2.4-dinitrobenzene,,,,,1.28,1.63,0,6.476,11.06,,,,,,,,,,,
130-16-5,5-Chloro-8-hydroxyquinoline,,,,,1.51,1.22,0,6.477,11.06,,,,,,,,,,,
93-04-9,2-Methoxynaphthalene,,,,,1.39,1.13,0,6.489,11.06,,,,,,,,,,,
54290-22-1,2-Iodo-2-phenylpropane,,,,,1.28,0.95,0,6.49,11.06,,,,,,,,,,,
115-24-2,Sulfonal,,,,,0.32,1.15,0,6.49,11.06,,,,,,,,,,,
65611-31-6,Hepytl trichloroacetate,,,,,0.28,0.72,0,6.493,11.06,,,,,,,,,,,
615-54-3,1.2.4-tribromobenzene,,,,,1.45,1.07,0,6.497,11.06,,,,,,,,,,,
143-24-8,2.5.8.11.14-Pentaoxopentadecane,,,,,-0.02,1.11,0,6.498,11.06,,,,,,,,,,,
6130-75-2,2.4.5-Trichloroanisole,,,,,1.12,1.01,0,6.499,11.06,,,,,,,,,,,
27864-13-7,2.3.6-Trichloronitrobenzene,,,,,1.32,1.38,0,6.5,11.06,,,,,,,,,,,
553-26-4,4.4'-Bipyridine,,,,,1.38,1.37,0,6.5,11.06,,,,,,,,,,,
3796-70-1,Geranyl acetone,,,,,0.43,0.75,0,6.5,11.06,,,,,,,,,,,
54135-81-8,2.3.5-Trichloroanisole,,,,,1.12,1.01,0,6.506,11.06,,,,,,,,,,,
1006-31-1,2.3.5.6-Tetrachlorotoluene,,,,,1.23,0.91,0,6.513,11.06,,,,,,,,,,,
1120-36-1,Tetradec-1-ene,,,,,0.09,0.08,0,6.513,11.06,,,,,,,,,,,
938-33-0,8-Methoxyquinoline,,,,,1.41,1.24,0,6.515,11.06,,,,,,,,,,,
571-58-4,1.4-Dimethylnaphthalene,,,,,1.41,1.04,0,6.516,11.06,,,,,,,,,,,
514-51-2,?-Patchoulene,,,,,0.72,0.18,0,6.518,11.06,,,,,,,,,,,
1459-93-4,Dimethyl isophthalate,,,,,0.78,1.48,0,6.519,11.06,,,,,,,,,,,
608-21-9,1.2.3-Tribromobenzene,,,,,1.55,1.12,0,6.52,11.06,,,,,,,,,,,
17700-09-3,2.3.4-Trichloronitrobenzene,,,,,1.32,1.4,0,6.52,11.06,,,,,,,,,,,
123938-16-9,g-Caryophyllene,,,,,0.7,0.33,0,6.529,11.06,,,,,,,,,,,
610-40-2,1-Chloro-3.4-dinitrobenzene,,,,,1.3,1.73,0,6.53,11.06,,,,,,,,,,,
1613-32-7,2-Propylquinoline,,,,,1.29,0.88,0,6.534,11.06,,,,,,,,,,,
571-61-9,1.5-Dimethylnaphthalene,,,,,1.4,1.05,0,6.545,11.06,,,,,,,,,,,
1193-82-4,Methyl phenyl sulfoxide,,,,,1.1,1.75,0,6.545,11.06,,,,,,,,,,,
40813-84-1,Butylheptylsulfide,,,,,0.32,0.34,0,6.55,11.06,,,,,,,,,,,
59973-08-9,Ethylnonylsulfide,,,,,0.32,0.34,0,6.55,11.06,,,,,,,,,,,
5332-24-1,3-Bromoquinoline,,,,,1.66,1.21,0,6.551,11.06,,,,,,,,,,,
87-85-4,hexamethylbenzene,,,,,0.95,0.72,0,6.557,11.06,,,,,,,,,,,
14912-44-8,?-Ylangene,,,,,0.64,0.13,0,6.557,11.06,,,,,,,,,,,
826-77-7,4.6-Dimethylquinoline,,,,,1.35,1,0,6.561,11.06,,,,,,,,,,,
54135-82-9,3.4.5-Trichloroanisole,,,,,1.08,0.99,0,6.563,11.06,,,,,,,,,,,
610-97-9,Methyl 2-Iodobenzoate,,,,,1.31,1.24,0,6.566,11.06,,,,,,,,,,,
3856-25-5,?-Copaene,,,,,0.62,0.14,0,6.567,11.06,,,,,,,,,,,
618-91-7,Methyl 3-iodobenzoate,,,,,1.31,1.23,0,6.568,11.06,,,,,,,,,,,
2212-67-1,Molinate,,,,,0.88,1.09,0,6.578,11.06,,,,,,,,,,,
5437-45-6,Benzyl bromoacetate,,,,,1.04,1.35,0,6.58,11.06,,,,,,,,,,,
1571-86-4,1.4-Di-n-butylbenzene,,,,,0.6,0.48,0,6.588,11.06,,,,,,,,,,,
486-56-6,Cotinine,,,,,1.05,1.49,0,6.59,11.06,,,,,,,,,,,
112-18-5,N.N-Dimethyldodecylamine,,,,,0.07,0.15,0,6.59,11.06,,,,,,,,,,,
643-93-6,3-Methylbiphenyl,,,,,1.37,0.95,0,6.591,11.06,,,,,,,,,,,
14417-01-7,N.N-Dimethylbenzenesulfonamide,,,,,1.1,1.58,0,6.594,11.06,,,,,,,,,,,
104-67-6,g-Undecanolactone,,,,,0.29,1.44,0,6.598,11.06,,,,,,,,,,,
1137-12-8,Longicyclene,,,,,0.66,0.11,0,6.6,11.06,,,,,,,,,,,
18252-46-5,Z-?-Bergamotene,,,,,0.7,0.28,0,6.608,11.06,,,,,,,,,,,
644-08-6,4-Methylbiphenyl,,,,,1.36,0.98,0,6.612,11.06,,,,,,,,,,,
87-44-5,trans-beta-Caryophyllene,,,,,0.72,0.33,0,6.613,11.06,,,,,,,,,,,
6158-45-8,1-Isopropylnaphthalene,,,,,1.31,0.75,0,6.615,11.06,,,,,,,,,,,
118-65-0,Z-?-Caryophyllene,,,,,0.72,0.33,0,6.617,11.06,,,,,,,,,,,
878-13-7,Cycloundecanone,,,,,0.56,0.86,0,6.621,11.06,,,,,,,,,,,
13744-15-5,?-Cubebene,,,,,0.62,0.19,0,6.624,11.06,,,,,,,,,,,
2387-78-2,Cyperene,,,,,0.72,0.18,0,6.637,11.06,,,,,,,,,,,
10059-13-9,tert-Dodecylthiol,,,,,0.29,0.28,0,6.64,11.06,,,,,,,,,,,
5208-59-3,?-Bourbonene,,,,,0.63,0.14,0,6.645,11.06,,,,,,,,,,,
66-77-3,1-Naphthaldehyde,,,,,1.55,1.4,0,6.646,11.06,,,,,,,,,,,
1135-66-6,Isolongifolene,,,,,0.73,0.14,0,6.647,11.06,,,,,,,,,,,
18430-91-6,2-Hydroxypentanophenone,,,,,0.94,1.19,0,6.65,11.06,,,,,,,,,,,
569-41-5,1.8-Dimethylnaphthalene,,,,,1.4,1.01,0,6.653,11.06,,,,,,,,,,,
693-67-4,1-Bromoundecane,,,,,0.33,0.4,0,6.656,11.06,,,,,,,,,,,
2027-19-2,2-Propylnaphthalene,,,,,1.3,0.76,0,6.656,11.06,,,,,,,,,,,
22469-52-9,Cyclosativene,,,,,0.61,0.08,0,6.659,11.06,,,,,,,,,,,
489-40-7,?-Gurjunene,,,,,0.74,0.21,0,6.659,11.06,,,,,,,,,,,
2765-18-6,1-Propylnaphthalene,,,,,1.34,0.76,0,6.66,11.06,,,,,,,,,,,
77-83-8,Ethyl 3-methyl-3-phenyloxirane-2-carboxylate,,,,,0.74,1.13,0,6.66,11.06,,,,,,,,,,,
606-43-9,1-Methylquinolin-2(1H)-one,,,,,1.3,1.53,0,6.661,11.06,,,,,,,,,,,
627-90-7,Ethyl undecanoate,,,,,0.01,0.58,0,6.662,11.06,,,,,,,,,,,
2696-43-7,Nonyl methacrylate,,,,,0.14,0.49,0,6.665,11.06,,,,,,,,,,,
2051-61-8,3-chlorobiphenyl,,,,,1.51,1.05,0,6.667,11.06,,,,,,,,,,,
619-44-3,Methyl 4-iodobenzoate,,,,,1.31,1.25,0,6.67,11.06,,,,,,,,,,,
30673-60-0,Propyl decanoate,,,,,0.01,0.56,0,6.671,11.06,,,,,,,,,,,
475-20-7,Longifolene,,,,,0.76,0.2,0,6.677,11.06,,,,,,,,,,,
580-13-2,2-Bromonaphthalene,,,,,1.61,1.13,0,6.678,11.06,,,,,,,,,,,
90-11-9,1-Bromonaphthalene,,,,,1.6,1.13,0,6.682,11.06,,,,,,,,,,,
29873-99-2,?-Elemene,,,,,0.71,0.38,0,6.69,11.06,,,,,,,,,,,
609-93-8,4-Methyl-2.6-dinitrophenol,,,,,1.18,1.75,0,6.695,11.06,,,,,,,,,,,
2156-96-9,Decyl acrylate,,,,,0.14,0.62,0,6.695,11.06,,,,,,,,,,,
629-59-4,n-Tetradecane,,,,,0,0,0,6.705,11.06,,,,,,,,,,,
4549-33-1,1.9-Dibromononane,,,,,0.68,0.8,0,6.708,11.06,,,,,,,,,,,
112-52-7,1-Chlorododecane,,,,,0.18,0.4,0,6.708,11.06,,,,,,,,,,,
6753-98-6,?-Caryophyllene,,,,,0.77,0.27,0,6.708,11.06,,,,,,,,,,,
14719-83-6,Methyl 3-nitro-4-chlorobenzoate,,,,,1.1,1.48,0,6.709,11.06,,,,,,,,,,,
42087-80-9,Methyl 2-nitro-4-chlorobenzoate,,,,,1.06,1.57,0,6.71,11.06,,,,,,,,,,,
607-91-0,Myristin,,,,,1.16,1.23,0,6.71,11.06,,,,,,,,,,,
13474-59-4,E-?-Bergamotene,,,,,0.7,0.28,0,6.711,11.06,,,,,,,,,,,
120-25-2,3-Methoxy-4-ethoxybenzaldehyde,,,,,0.98,1.58,0,6.713,11.06,,,,,,,,,,,
2189-60-8,n-Octylbenzene,,,,,0.58,0.48,0,6.714,11.06,,,,,,,,,,,
132-64-9,Dibenzofuran,,,,,1.78,0.86,0,6.716,11.06,,,,,,,,,,,
2051-62-9,4-chlorobiphenyl,,,,,1.5,1.05,0,6.718,11.06,,,,,,,,,,,
2049-96-9,Pentyl benzoate,,,,,0.66,0.79,0,6.718,11.06,,,,,,,,,,,
54135-80-7,2.3.4-Trichloroanisole,,,,,1.13,1.18,0,6.72,11.06,,,,,,,,,,,
1731-81-3,Undecyl acetate,,,,,0.04,0.6,0,6.73,11.06,,,,,,,,,,,
5422-88-8,Cyclopentylphenylketone,,,,,1,1.3,0,6.734,11.06,,,,,,,,,,,
1006-32-2,2.3.4.5-Tetrachlorotoluene,,,,,1.23,0.94,0,6.744,11.06,,,,,,,,,,,
28973-97-9,Z-?-Farnesene,,,,,0.71,0.36,0,6.756,11.06,,,,,,,,,,,
79-77-6,b-Ionone,,,,,0.89,0.78,0,6.758,11.06,,,,,,,,,,,
469-61-4,alpha-Cedrene,,,,,0.71,0.18,0,6.764,11.06,,,,,,,,,,,
33146-45-1,PCB 10,,,,,1.66,1.22,0,6.765,11.06,,,,,,,,,,,
111-82-0,Methyl dodecanoate,,,,,0.04,0.6,0,6.767,11.06,,,,,,,,,,,
18794-84-8,E-?-Farnesene,,,,,0.71,0.37,0,6.769,11.06,,,,,,,,,,,
620-47-3,3-Methyldiphenylmethane,,,,,1.22,1.01,0,6.771,11.06,,,,,,,,,,,
1732-10-1,Dimethyl azelate,,,,,0.14,1.27,0,6.775,11.06,,,,,,,,,,,
33100-27-5,15-Crown-5,,,,,0.41,1.2,0,6.779,11.06,,,,,,,,,,,
10486-19-8,Tridecanal,,,,,0.11,0.65,0,6.78,11.06,,,,,,,,,,,
546-28-1,?-Cedrene,,,,,0.76,0.2,0,6.785,11.06,,,,,,,,,,,
938-22-7,2.3.4.6-Tetrachloroanisole,,,,,1.31,0.95,0,6.79,11.06,,,,,,,,,,,
73464-47-8,?-Gurjunene,,,,,0.78,0.23,0,6.792,11.06,,,,,,,,,,,
5332-52-5,Undecylthiol,,,,,0.34,0.4,0,6.794,11.06,,,,,,,,,,,
6936-40-9,2.3.5.6-Tetrachloroanisole,,,,,1.3,0.92,0,6.798,11.06,,,,,,,,,,,
512-61-8,?-Santalene,,,,,0.64,0.17,0,6.801,11.06,,,,,,,,,,,
688-74-4,Tributylborate,,,,,-0.23,0.64,0,6.808,11.06,,,,,,,,,,,
938-86-3,2.3.4.5-Tetrachloroanisole,,,,,1.28,1.15,0,6.812,11.06,,,,,,,,,,,
713-36-0,2-Methyldiphenylmethane,,,,,1.22,1.01,0,6.812,11.06,,,,,,,,,,,
13029-08-8,PCB 4,,,,,1.6,1.22,0,6.815,11.06,,,,,,,,,,,
19345-99-4,1-Methylacenaphthylene,,,,,1.75,1.14,0,6.818,11.06,,,,,,,,,,,
93-19-6,2-Isobutylquinoline,,,,,1.28,0.8,0,6.819,11.06,,,,,,,,,,,
57334-35-7,5-Methoxy-8-hydroxyquinoline,,,,,1.5,1.32,0,6.82,11.06,,,,,,,,,,,
3691-12-1,?-Guaiene,,,,,0.7,0.3,0,6.821,11.06,,,,,,,,,,,
3001-98-7,Pentaerythritol spirobis(methylphosphonate),,,,,0.39,1.69,0,6.824,11.06,,,,,,,,,,,
593-08-8,Tridecan-2-one,,,,,0.1,0.68,0,6.831,11.06,,,,,,,,,,,
99-35-4,1.3.5-trinitrobenzene,,,,,1.43,2.43,0,6.835,11.06,,,,,,,,,,,
20479-06-5,?-Ylangene,,,,,0.64,0.15,0,6.835,11.06,,,,,,,,,,,
489-39-4,Aromadendrene,,,,,0.7,0.23,0,6.839,11.06,,,,,,,,,,,
1205-17-0,a-Methyl-1.3-benzodioxole-5-propanal,,,,,0.92,1.65,0,6.84,11.06,,,,,,,,,,,
18252-44-3,?-Copaene,,,,,0.62,0.15,0,6.849,11.06,,,,,,,,,,,
829-26-5,2.3.6-Trimethylnaphthalene,,,,,1.44,0.88,0,6.854,11.06,,,,,,,,,,,
1412-28-3,7-Nitro-1.3.5-triazaadamantane,,,,,1.34,1.78,0,6.855,11.06,,,,,,,,,,,
141-03-7,Di-n-butyl succinate,,,,,0.04,0.95,0,6.856,11.06,,,,,,,,,,,
2243-89-2,2.4.6-Trimethylquinoline,,,,,1.32,0.95,0,6.857,11.06,,,,,,,,,,,
121-82-4,Cyclonite,,,,,1.63,1.44,0,6.86,11.06,,,,,,,,,,,
620-83-7,4-Methyldiphenylmethane,,,,,1.22,1.01,0,6.864,11.06,,,,,,,,,,,
37839-63-7,Germacrene D,,,,,0.76,0.4,0,6.869,11.06,,,,,,,,,,,
599-69-9,N.N-Dimethyl-p-toluenesulfonamide,,,,,1.1,1.14,0,6.87,11.06,,,,,,,,,,,
77-92-9,Citric acid,,,,,0.81,2.65,0,6.877,11.06,,,,,,,,,,,
15011-28-6,4.5-Dimethyl-8-hydroxyquinoline,,,,,1.4,1.18,0,6.88,11.06,,,,,,,,,,,
1671-75-6,Heptanophenone,,,,,0.77,0.95,0,6.89,11.06,,,,,,,,,,,
28290-20-2,Selina-4.11-diene,,,,,0.82,0.26,0,6.895,11.06,,,,,,,,,,,
473-13-2,?-Selinene,,,,,0.82,0.26,0,6.895,11.06,,,,,,,,,,,
6753-98-6,?-Caryophyllene,,,,,0.76,0.27,0,6.896,11.06,,,,,,,,,,,
470-40-6,Thujopsene,,,,,0.74,0.17,0,6.898,11.06,,,,,,,,,,,
511-59-1,?-Santalene,,,,,0.67,0.26,0,6.902,11.06,,,,,,,,,,,
17283-81-7,Dihydro-b-ionone,,,,,0.51,0.89,0,6.903,11.06,,,,,,,,,,,
37873-29-3,5.7-Dimethyl-8-hydroxyquinoline,,,,,1.4,1.18,0,6.907,11.06,,,,,,,,,,,
528-75-6,2.4-Dinitrobenzaldehyde,,,,,1.38,1.82,0,6.909,11.06,,,,,,,,,,,
86-73-7,Fluorene,,,,,1.59,1.06,0,6.922,11.06,,,,,,,,,,,
2694-06-6,Methyl 2.3.6-trichlorobenzoate,,,,,1.05,1.08,0,6.923,11.06,,,,,,,,,,,
73209-42-4,E-Calamenene,,,,,0.86,0.56,0,6.932,11.06,,,,,,,,,,,
16982-00-6,Cuparene,,,,,0.77,0.54,0,6.934,11.06,,,,,,,,,,,
1198-14-7,5-Bromo-8-hydroxyquinoline,,,,,1.67,1.3,0,6.941,11.06,,,,,,,,,,,
2050-23-9,Diethyl suberate,,,,,0.07,1.12,0,6.95,11.06,,,,,,,,,,,
523-47-7,?-Cadinene,,,,,0.79,0.29,0,6.95,11.06,,,,,,,,,,,
5668-93-9,3-Ethylbiphenyl,,,,,1.37,0.96,0,6.954,11.06,,,,,,,,,,,
26560-14-5,(Z. E)-?-Farnesene,,,,,0.71,0.38,0,6.956,11.06,,,,,,,,,,,
28387-44-2,Germacrene A,,,,,0.76,0.45,0,6.965,11.06,,,,,,,,,,,
2245-38-7,2.3.5-Trimethylnaphthalene,,,,,1.47,1,0,6.967,11.06,,,,,,,,,,,
1530-03-6,1.1-Diphenylpropane,,,,,1.28,1.04,0,6.97,11.06,,,,,,,,,,,
22567-17-5,y-Gurjunene,,,,,0.73,0.28,0,6.97,11.06,,,,,,,,,,,
2050-77-3,1-Iododecane,,,,,0.59,0.4,0,6.971,11.06,,,,,,,,,,,
372162-07-7,cis-b-Guaeine,,,,,0.7,0.3,0,6.972,11.06,,,,,,,,,,,
25246-27-9,Alloaromadendrene,,,,,0.72,0.23,0,6.973,11.06,,,,,,,,,,,
72937-55-4,Z-Calamenene,,,,,0.86,0.56,0,6.975,11.06,,,,,,,,,,,
5328-01-8,1-Ethoxynaphthalene,,,,,1.41,1.14,0,6.976,11.06,,,,,,,,,,,
118-74-1,Hexachlorobenzene,,,,,1.49,0.75,0,6.986,11.06,,,,,,,,,,,
1202-25-1,Methyl 4-dimethylaminobenzoate,,,,,1.08,1.49,0,6.99,11.06,,,,,,,,,,,
262-12-4,Dibenzo-p-dioxin,,,,,1.46,1.37,0,6.992,11.06,,,,,,,,,,,
28477-64-7,?-Acoradiene,,,,,0.8,0.26,0,6.993,11.06,,,,,,,,,,,
560-32-7,?-Patchoulene,,,,,0.72,0.18,0,6.999,11.06,,,,,,,,,,,
100-23-2,4-Nitro-N.N-dimethylaniline,,,,,1.22,2.02,0,7,11.06,,,,,,,,,,,
34883-39-1,PCB 9,,,,,1.63,1.2,0,7.001,11.06,,,,,,,,,,,
16958-78-4,Octyl trichloroacetate,,,,,0.27,0.72,0,7.004,11.06,,,,,,,,,,,
879-39-0,2.3.4.5-Tetrachloronitrobenzene,,,,,1.47,1.38,0,7.005,11.06,,,,,,,,,,,
13360-61-7,Pentadec-1-ene,,,,,0.08,0.08,0,7.006,11.06,,,,,,,,,,,
106-19-4,Dipropyl adipate,,,,,0.06,1.13,0,7.023,11.06,,,,,,,,,,,
6294-31-1,Dihexylsulfide,,,,,0.33,0.37,0,7.03,11.06,,,,,,,,,,,
502-61-4,(E.E)-?-Farnesene,,,,,0.71,0.38,0,7.039,11.06,,,,,,,,,,,
23597-82-2,Hexyl nicotinate,,,,,0.63,1.07,0,7.04,11.06,,,,,,,,,,,
2305-05-7,g-Dodecalactone,,,,,0.28,1.44,0,7.042,11.06,,,,,,,,,,,
33284-50-3,PCB 7,,,,,1.62,1.2,0,7.042,11.06,,,,,,,,,,,
2131-38-6,1.3.7-Trimethylnaphthalene,,,,,1.41,1.1,0,7.043,11.06,,,,,,,,,,,
495-61-4,?-Bisabolene,,,,,0.66,0.36,0,7.044,11.06,,,,,,,,,,,
192053-49-9,trans-b-Guaiene,,,,,0.7,0.3,0,7.047,11.06,,,,,,,,,,,
2459-24-7,Methyl 1-naphthoate,,,,,1.43,1.25,0,7.049,11.06,,,,,,,,,,,
62103-66-6,Propylnonylsulfide,,,,,0.32,0.34,0,7.05,11.06,,,,,,,,,,,
495-60-3,?-Zingiberene,,,,,0.68,0.3,0,7.053,11.06,,,,,,,,,,,
86-57-7,1-Nitronaphthalene,,,,,1.6,1.51,0,7.056,11.06,,,,,,,,,,,
41233-10-7,Pentylheptylsulfide,,,,,0.32,0.34,0,7.06,11.06,,,,,,,,,,,
30021-74-0,y-Muurolene,,,,,0.8,0.26,0,7.062,11.06,,,,,,,,,,,
17066-67-0,?-Selinene,,,,,0.77,0.28,0,7.067,11.06,,,,,,,,,,,
29837-07-8,Z-?-Bisabolene,,,,,0.67,0.35,0,7.069,11.06,,,,,,,,,,,
7661-39-4,2-Butylquinoline,,,,,1.3,0.86,0,7.07,11.06,,,,,,,,,,,
20085-19-2,a-Amorphene,,,,,0.82,0.25,0,7.074,11.06,,,,,,,,,,,
21391-99-1,?-Calacorene,,,,,0.93,0.65,0,7.079,11.06,,,,,,,,,,,
612-75-9,3.3'-Dimethylbiphenyl,,,,,1.43,0.98,0,7.08,11.06,,,,,,,,,,,
607-99-8,2.4.6-Tribromoanisole,,,,,1.55,1.12,0,7.085,11.06,,,,,,,,,,,
2523-37-7,9-Methylfluorene,,,,,1.59,1.03,0,7.09,11.06,,,,,,,,,,,
5707-44-8,4-Ethylbiphenyl,,,,,1.36,0.96,0,7.098,11.06,,,,,,,,,,,
24703-35-3,Bicyclogermacrene,,,,,0.8,0.29,0,7.105,11.06,,,,,,,,,,,
3691-11-0,a-Bulnesene,,,,,0.74,0.3,0,7.107,11.06,,,,,,,,,,,
57378-68-4,Damascone,,,,,0.7,1.01,0,7.12,11.06,,,,,,,,,,,
13062-00-5,Z-?-Bisabolene,,,,,0.67,0.35,0,7.122,11.06,,,,,,,,,,,
1634-09-9,1-Butylnaphthalene,,,,,1.34,0.73,0,7.125,11.06,,,,,,,,,,,
103-33-3,1.2-Diphenyldiazene,,,,,1.33,1.21,0,7.13,11.06,,,,,,,,,,,
2459-25-8,Methyl 2-naphthoate,,,,,1.43,1.25,0,7.136,11.06,,,,,,,,,,,
10208-80-7,?-Muurolene,,,,,0.8,0.25,0,7.138,11.06,,,,,,,,,,,
106-33-2,Ethyl dodecanoate,,,,,0,0.58,0,7.144,11.06,,,,,,,,,,,
4630-07-3,Valencene,,,,,0.81,0.26,0,7.145,11.06,,,,,,,,,,,
25569-80-6,PCB 6,,,,,1.63,1.2,0,7.146,11.06,,,,,,,,,,,
3179-47-3,Decyl methacrylate,,,,,0.14,0.49,0,7.149,11.06,,,,,,,,,,,
3714-62-3,2.3.4.6-Tetrachloronitrobenzene,,,,,1.47,1.41,0,7.15,11.06,,,,,,,,,,,
2345-27-9,Tetradecan-2-one,,,,,0.1,0.68,0,7.151,11.06,,,,,,,,,,,
20282-30-8,3-Isopropylbiphenyl,,,,,1.34,0.91,0,7.152,11.06,,,,,,,,,,,
92-83-1,Xanthene,,,,,1.5,1.07,0,7.153,11.06,,,,,,,,,,,
473-14-3,d-Selinene,,,,,0.82,0.26,0,7.155,11.06,,,,,,,,,,,
