CAS , ringCount
1197-01-9 ,1
1197-22-4 ,1
1198-37-4 ,2
119-84-6 ,1
1198-55-6 ,1
119-91-5 ,4
120-12-7 ,3
120-14-9 ,1
1202-25-1 ,1
120-25-2 ,1
120-29-6 ,0
120-47-8 ,1
120-51-4 ,2
1205-17-0 ,1
120-57-0 ,1
120-61-6 ,1
120-66-1 ,1
1207-12-1 ,3
1207-15-4 ,3
120-72-9 ,2
120-73-0 ,2
120-80-9 ,1
120-82-1 ,1
120-83-2 ,1
120-92-3 ,0
120-94-5 ,0
121-14-2 ,1
121-32-4 ,1
121-33-5 ,1
121-34-6 ,1
121-43-7 ,0
121-44-8 ,0
121-46-0 ,0
121-52-8 ,1
121552-61-2 ,2
121-57-3 ,1
121-69-7 ,1
121-72-2 ,1
121-73-3 ,1
121-79-9 ,1
121-81-3 ,1
121-82-4 ,0
121-89-1 ,1
121-91-5 ,1
121-92-6 ,1
121-98-2 ,1
122-00-9 ,1
122-03-2 ,1
122-14-5 ,1
1222-05-5 ,1
122-34-9 ,1
122-39-4 ,2
122-40-7 ,1
122-42-9 ,1
122-46-3 ,1
122-52-1 ,0
122-59-8 ,1
122-66-7 ,2
122-72-5 ,1
122-78-1 ,1
122-79-2 ,1
122-88-3 ,1
122-94-1 ,1
122-97-4 ,1
122-99-6 ,1
123-01-3 ,1
123-02-4 ,1
123-05-7 ,0
123-07-9 ,1
123-08-0 ,1
123-11-5 ,1
123-15-9 ,0
123-19-3 ,0
123-20-6 ,0
123-25-1 ,0
123-29-5 ,0
123-30-8 ,1
123312-89-0 ,1
123-31-9 ,1
123-32-0 ,1
123-35-3 ,0
123-39-7 ,0
123-42-2 ,0
123-51-3 ,0
123-54-6 ,0
123-56-8 ,0
123-63-7 ,0
123-66-0 ,0
123-68-2 ,0
123-73-9 ,0
123-75-1 ,0
123-76-2 ,0
123-80-8 ,0
123-86-4 ,0
123-91-1 ,0
123-92-2 ,0
123-95-5 ,0
123-96-6 ,0
123-99-9 ,0
124-02-7 ,0
124-04-9 ,0
124-06-1 ,0
124-07-2 ,0
124-09-4 ,0
124-10-7 ,0
124-11-8 ,0
124-12-9 ,0
124-13-0 ,0
124-18-5 ,0
124-19-6 ,0
124-22-1 ,0
124-25-4 ,0
124-30-1 ,0
124-48-1 ,0
124-68-5 ,0
124-76-5 ,0
125-28-0 ,1
125-29-1 ,1
125-40-6 ,0
125-71-3 ,1
126028-51-1 ,1
126-07-8 ,1
126-30-7 ,0
126-33-0 ,0
126-39-6 ,0
126-73-8 ,0
126-81-8 ,0
126-84-1 ,0
126-99-8 ,0
127-00-4 ,0
127-06-0 ,0
127-17-3 ,0
127-18-4 ,0
127-19-5 ,0
127-25-3 ,0
127-41-3 ,0
127-51-5 ,0
127-63-9 ,2
127-69-5 ,2
127-71-9 ,2
127-79-7 ,2
127-91-3 ,0
128-37-0 ,1
128-39-2 ,1
129-00-0 ,4
130-15-4 ,1
130-16-5 ,2
13019-20-0 ,0
13020-57-0 ,2
130-26-7 ,2
13029-08-8 ,2
13062-00-5 ,0
13067-27-1 ,1
13073-29-5 ,1
130-95-0 ,2
13110-37-7 ,1
131-11-3 ,1
131-16-8 ,1
131-17-9 ,1
131-18-0 ,1
13151-34-3 ,0
13151-35-4 ,0
131-57-7 ,2
131-91-9 ,2
13205-48-6 ,1
13214-66-9 ,1
132-22-9 ,2
13238-84-1 ,1
132-53-6 ,2
132539-06-1 ,2
132-64-9 ,3
132-65-0 ,3
13269-52-8 ,0
132-86-5 ,2
13286-90-3 ,0
13291-46-8 ,3
13311-84-7 ,1
133-16-4 ,1
13325-10-5 ,0
13330-65-9 ,1
133-37-9 ,0
13360-61-7 ,0
13360-63-9 ,0
13360-64-0 ,1
133-67-5 ,1
13389-42-9 ,0
134-20-3 ,1
134-32-7 ,2
13450-92-5 ,0
13450-95-8 ,0
134-62-3 ,1
13466-78-9 ,0
13474-59-4 ,0
13475-82-6 ,0
13476-55-6 ,1
134-81-6 ,2
134-85-0 ,2
135-01-3 ,1
135-02-4 ,1
135-19-3 ,2
13523-86-9 ,2
135-48-8 ,5
135-67-1 ,2
135-70-6 ,4
135-98-8 ,1
13632-93-4 ,1
13632-94-5 ,1
13655-52-2 ,1
136-60-7 ,1
13669-70-0 ,2
13673-92-2 ,1
137-05-3 ,0
13710-19-5 ,2
137-17-7 ,1
13730-55-7 ,1
137-32-6 ,0
13732-80-4 ,1
137-43-9 ,0
13744-15-5 ,0
137-58-6 ,1
13764-18-6 ,2
138-22-7 ,0
138-41-0 ,1
138-52-3 ,1
13877-91-3 ,0
138-86-3 ,0
138-89-6 ,1
13925-00-3 ,1
13925-06-9 ,1
139-40-2 ,1
