CAS,C,H,O,N,S,F,Cl,Br,I,Si
108-43-0,6,5,1,0,0,0,1,0,0,0
108-44-1,7,9,0,1,0,0,0,0,0,0
108-45-2,6,8,0,2,0,0,0,0,0,0
108-46-3,6,6,2,0,0,0,0,0,0,0
108-47-4,7,9,0,1,0,0,0,0,0,0
108-48-5,7,9,0,1,0,0,0,0,0,0
108-50-9,6,8,0,2,0,0,0,0,0,0
1085-12-7,14,20,3,0,0,0,0,0,0,0
108-59-8,5,8,4,0,0,0,0,0,0,0
108-60-1,6,12,1,0,0,0,2,0,0,0
108-64-5,7,14,2,0,0,0,0,0,0,0
108-65-6,6,12,3,0,0,0,0,0,0,0
108-67-8,9,12,0,0,0,0,0,0,0,0
108-68-9,8,10,1,0,0,0,0,0,0,0
108-69-0,8,11,0,1,0,0,0,0,0,0
108-70-3,6,3,0,0,0,0,3,0,0,0
108-73-6,6,6,3,0,0,0,0,0,0,0
108-75-8,8,11,0,1,0,0,0,0,0,0
1088-11-5,15,11,1,2,0,0,1,0,0,0
108-82-7,9,20,1,0,0,0,0,0,0,0
108-83-8,9,18,1,0,0,0,0,0,0,0
108-84-9,8,16,2,0,0,0,0,0,0,0
108-85-0,6,11,0,0,0,0,0,1,0,0
108-86-1,6,5,0,0,0,0,0,1,0,0
108-87-2,7,14,0,0,0,0,0,0,0,0
108-88-3,7,8,0,0,0,0,0,0,0,0
108-89-4,6,7,0,1,0,0,0,0,0,0
108-90-7,6,5,0,0,0,0,1,0,0,0
108-91-8,6,13,0,1,0,0,0,0,0,0
108-93-0,6,12,1,0,0,0,0,0,0,0
108-94-1,6,10,1,0,0,0,0,0,0,0
108-95-2,6,6,1,0,0,0,0,0,0,0
108-98-5,6,6,0,0,1,0,0,0,0,0
108-99-6,6,7,0,1,0,0,0,0,0,0
109-01-3,5,12,0,2,0,0,0,0,0,0
109-02-4,5,11,1,1,0,0,0,0,0,0
109-04-6,5,4,0,1,0,0,0,1,0,0
109-05-7,6,13,0,1,0,0,0,0,0,0
109-06-8,6,7,0,1,0,0,0,0,0,0
109-07-9,5,12,0,2,0,0,0,0,0,0
109-08-0,5,6,0,2,0,0,0,0,0,0
