CAS,chemicalName,label,MRF,molecularWeight,overloadMass_1,E,S,A,L,combustionEnthalpy,C,H,O,N,S,F,Cl,Br,I,Si
10574-37-5,2.3-Dimethylpent-2-ene,,,,,0.14,0.1,0,3.195,,7,14,0,0,0,0,0,0,0,0
105-79-3,Isobutyl hexanoate,,,,,0.07,0.53,0,5.038,,10,20,2,0,0,0,0,0,0,0
105827-78-9,Imidacloprid,,,,,1.69,1.5,0,8.627,,,,,,,,,,,
10586-17-1,Isopropyl 2-cyano-2-propenoic acid,,,,,0.35,0.87,0,4.31,,,,,,,,,,,
105-87-3,Geranyl acetate,,,,,0.37,0.72,0,6.167,,12,20,2,0,0,0,0,0,0,0
10588-10-0,Isobutyl pentanoate,,,,,-0.03,0.54,0,4.571,,9,18,2,0,0,0,0,0,0,0
10595-95-6,N-Nitrosomethylethylamine,,,,,0.37,1.1,0,3.171,,3,8,1,2,0,0,0,0,0,0
105-99-7,Dibutyl adipate,,,,,0.05,1.12,0,8.012,,14,26,4,0,0,0,0,0,0,0
106-02-5,Pentadecanolide,,,,,0.26,1.35,0,8.37,,15,28,2,0,0,0,0,0,0,0
10604-60-1,(1-Iodoethyl)benzene,,,,,1.34,0.96,0,6.107,,8,9,0,0,0,0,0,0,1,0
10605-21-7,Carbendazim,,,,,2,1.45,0.45,7.985,,,,,,,,,,,
106-19-4,Dipropyl adipate,,,,,0.06,1.13,0,7.023,,12,22,4,0,0,0,0,0,0,0
106-22-9,b-Citronellol,,,,,0.35,0.47,0.35,5.396,,10,20,1,0,0,0,0,0,0,0
106-23-0,Citronellal,,,,,0.29,0.63,0,5.193,,10,18,1,0,0,0,0,0,0,0
106-24-1,Geraniol,,,,,0.51,0.54,0.35,5.512,,10,18,1,0,0,0,0,0,0,0
106243-16-7,thioperamide,,,,,1.89,1.68,0.59,11.43,,,,,,,,,,,
106-25-2,Nerol,,,,,0.5,0.61,0.27,5.37,,10,18,1,0,0,0,0,0,0,0
106-26-3,Neral,,,,,0.59,0.8,0,5.458,,10,16,1,0,0,0,0,0,0,0
106-27-4,3-Methylbutyl butanoate,,,,,0.02,0.53,0,4.597,,9,18,2,0,0,0,0,0,0,0
106-30-9,Ethyl heptanoate,,,,,0.03,0.58,0,4.733,,9,18,2,0,0,0,0,0,0,0
106-32-1,Ethyl octanoate,,,,,0.02,0.58,0,5.215,,10,20,2,0,0,0,0,0,0,0
106-33-2,Ethyl dodecanoate,,,,,0,0.58,0,7.144,,14,28,2,0,0,0,0,0,0,0
106-35-4,Heptan-3-one,,,,,0.11,0.66,0,3.776,,7,14,1,0,0,0,0,0,0,0
106-36-5,n-Propyl propanoate,,,,,0.07,0.56,0,3.338,,6,12,2,0,0,0,0,0,0,0
106-37-6,1.4-Dibromobenzene,,,,,1.15,0.86,0,5.324,,6,4,0,0,0,0,0,2,0,0
106-38-7,4-Bromotoluene,,,,,0.88,0.74,0,4.586,,7,7,0,0,0,0,0,1,0,0
106-39-8,p-chlorobromobenzene,,,,,1,0.83,0,4.917,,6,4,0,0,0,0,1,1,0,0
106-40-1,4-Bromoaniline,,,,,1.19,1.19,0.31,5.276,,6,6,0,1,0,0,0,1,0,0
106-41-2,4-Bromophenol,,,,,1.08,1.17,0.67,5.004,,6,5,1,0,0,0,0,1,0,0
106-42-3,p-Xylene,,,,,0.61,0.52,0,3.839,,8,10,0,0,0,0,0,0,0,0
106-43-4,4-Chlorotoluene,,,,,0.71,0.74,0,4.205,,7,7,0,0,0,0,1,0,0,0
