CAS (0),ChemicalName (1),Label (2),MRF (3),molecularWeight (4),overloadMass_1 (5),E (6),S (6),A (7),L (8),combustionEnthalpy,numBenzene,numCarbon,numHydrogen,numOxygen,numNitrogen,numSulfur,numFluorine,numChlorine,numBromine,numSilicon,,,
275-51-4,Azulene,,0.969,128.16,336.1,1.466,1.085,0,5.736,1221.6,0,10,8,0,0,0,0,0,0,0,,,
56-55-3,Benz[a]anthracene,PAH,2.135,228.28,254.0,2.735,1.678,0,10.124,2137.5,3,18,12,0,0,0,0,0,0,0,,,
100-52-7,Benzaldehyde,,0.751,106.12,368.1,0.813,1.027,0,4.003,819,1,7,6,1,0,0,0,0,0,0,,,
55-21-0,Benzamide,,0.776,121.14,332.8,1.268,1.383,0.637,5.244,848.3,1,7,7,1,1,0,0,0,0,0,,,
71-43-2,Benzene,,0.703,78.11,393.7,0.608,0.506,0,2.784,763.6,1,6,6,0,0,0,0,0,0,0,,,
98-10-2,Benzenesulfonamide,,0.71,157.18,317.2,1.14,1.871,0.658,6.055,771.2,1,6,7,2,1,1,0,0,0,0,,,
92-87-5,Benzidine,,1.488,184.24,286.3,1.116,1.567,0.228,9.166,1531,2,12,12,0,2,0,0,0,0,0,,,
50-32-8,Benzo[a]pyrene,PAH,2.312,252.30,229.3,3.033,1.846,0,11.54,2344.7,3,20,12,0,0,0,0,0,0,0,,,
192-97-2,Benzo[e]pyrene,PAH,2.312,252.30,230.6,3,1.89,0,11.436,2344.7,3,20,12,0,0,0,0,0,0,0,,,
493-09-4,Benzodioxane,,0.836,136.14,354.3,0.884,1.064,0,4.952,918.1,1,8,8,2,0,0,0,0,0,0,,,
100-47-0,Benzonitrile,,0.78,103.12,367.1,0.742,1.128,0,4.055,852.8,1,7,5,0,1,0,0,0,0,0,,,
119-61-9,Benzophenone,,1.358,182.21,319.3,1.21,1.295,0,7.059,1527.8,1,13,10,1,0,0,0,0,0,0,,,
95-16-9,Benzothiazole,,0.844,135.18,346.1,1.08,1.109,0,5.333,927.4,1,7,5,0,1,1,0,0,0,0,,,
100-51-6,Benzylalcohol,,0.788,108.13,361.7,0.804,0.872,0.409,4.248,862.7,1,7,8,1,0,0,0,0,0,0,,,
103-41-3,Benzylcinnamate,,1.785,238.27,291.1,1.206,1.509,0,8.997,1877.7,2,16,14,2,0,0,0,0,0,0,,,
